epoch,step,train_loss:_epoch,train_loss:_step,val_loss:_epoch,val_loss:_step
0,4,,34.93824768066406,,
0,9,,33.18111801147461,,
0,14,,32.36273193359375,,
0,19,,31.314403533935547,,
0,24,,29.300861358642578,,
0,29,,28.20195960998535,,
0,34,,27.88821792602539,,
0,39,,27.145219802856445,,
0,44,,25.295385360717773,,
0,49,,23.947269439697266,,
0,54,,24.246681213378906,,
0,59,,21.672008514404297,,
0,64,,21.64957046508789,,
0,69,,20.121320724487305,,
0,74,,19.190433502197266,,
0,79,,18.553009033203125,,
0,84,,18.47891616821289,,
0,89,,16.890172958374023,,
0,94,,15.77026081085205,,
0,99,,15.537895202636719,,
0,104,,14.67284107208252,,
0,109,,13.796866416931152,,
0,114,,13.224526405334473,,
0,119,,12.928947448730469,,
0,124,,12.656704902648926,,
0,129,,12.753204345703125,,
0,134,,12.319632530212402,,
0,139,,12.543864250183105,,
0,144,,11.982666015625,,
0,149,,12.227917671203613,,
0,154,,12.185277938842773,,
,0,,,,11.214235305786133
,1,,,,11.534503936767578
,2,,,,11.914764404296875
,3,,,,11.839081764221191
0,156,,,11.625646591186523,
0,156,20.46004295349121,,,
1,159,,11.368073463439941,,
1,164,,11.7216157913208,,
1,169,,11.32631778717041,,
1,174,,11.62496566772461,,
1,179,,11.13427734375,,
1,184,,11.040488243103027,,
1,189,,11.199774742126465,,
1,194,,10.792667388916016,,
1,199,,11.461213111877441,,
1,204,,11.244547843933105,,
1,209,,11.189518928527832,,
1,214,,11.083305358886719,,
1,219,,11.008415222167969,,
1,224,,10.705279350280762,,
1,229,,10.275404930114746,,
1,234,,10.829882621765137,,
1,239,,10.932233810424805,,
1,244,,10.714487075805664,,
1,249,,10.255966186523438,,
1,254,,10.569303512573242,,
1,259,,10.612896919250488,,
1,264,,10.362936973571777,,
1,269,,10.353032112121582,,
1,274,,10.698147773742676,,
1,279,,10.722342491149902,,
1,284,,10.1992826461792,,
1,289,,9.968369483947754,,
1,294,,9.942953109741211,,
1,299,,10.338179588317871,,
1,304,,9.748785018920898,,
1,309,,10.129250526428223,,
,4,,,,9.974842071533203
,5,,,,9.90726089477539
,6,,,,10.392026901245117
,7,,,,10.095942497253418
1,313,,,10.092517852783203,
1,313,10.771245002746582,,,
2,314,,10.002530097961426,,
2,319,,10.40565013885498,,
2,324,,10.055485725402832,,
2,329,,10.478046417236328,,
2,334,,10.129222869873047,,
2,339,,10.061135292053223,,
2,344,,10.055192947387695,,
2,349,,9.608880043029785,,
2,354,,9.91532039642334,,
2,359,,9.796502113342285,,
2,364,,9.973745346069336,,
2,369,,9.897286415100098,,
2,374,,9.72877311706543,,
2,379,,9.88125228881836,,
2,384,,9.722034454345703,,
2,389,,9.441630363464355,,
2,394,,9.792825698852539,,
2,399,,9.636701583862305,,
2,404,,9.455302238464355,,
2,409,,9.969508171081543,,
2,414,,9.681884765625,,
2,419,,9.659998893737793,,
2,424,,9.68683910369873,,
2,429,,9.443191528320312,,
2,434,,9.40835189819336,,
2,439,,9.54922866821289,,
2,444,,9.596550941467285,,
2,449,,9.49512767791748,,
2,454,,9.318153381347656,,
2,459,,9.322522163391113,,
2,464,,9.18907642364502,,
2,469,,9.624870300292969,,
,8,,,,9.242650032043457
,9,,,,8.948738098144531
,10,,,,9.681024551391602
,11,,,,9.26772689819336
2,470,,,9.2850341796875,
2,470,9.756422996520996,,,
3,474,,9.187274932861328,,
3,479,,9.275579452514648,,
3,484,,9.78633975982666,,
3,489,,9.26587200164795,,
3,494,,9.254860877990723,,
3,499,,9.35589599609375,,
3,504,,8.827287673950195,,
3,509,,9.503277778625488,,
3,514,,9.011807441711426,,
3,519,,9.154586791992188,,
3,524,,9.263551712036133,,
3,529,,9.281075477600098,,
3,534,,9.113564491271973,,
3,539,,9.330934524536133,,
3,544,,9.46485424041748,,
3,549,,8.631124496459961,,
3,554,,9.274956703186035,,
3,559,,8.950313568115234,,
3,564,,8.946145057678223,,
3,569,,8.670032501220703,,
3,574,,8.70274543762207,,
3,579,,8.642794609069824,,
3,584,,8.816558837890625,,
3,589,,9.390149116516113,,
3,594,,8.916719436645508,,
3,599,,8.926115989685059,,
3,604,,9.118200302124023,,
3,609,,8.8707275390625,,
3,614,,9.045010566711426,,
3,619,,8.818410873413086,,
3,624,,8.405522346496582,,
,12,,,,8.64713191986084
,13,,,,8.414031028747559
,14,,,,9.026476860046387
,15,,,,8.808721542358398
3,627,,,8.724090576171875,
3,627,9.118348121643066,,,
4,629,,9.232641220092773,,
4,634,,8.968196868896484,,
4,639,,8.799416542053223,,
4,644,,8.550728797912598,,
4,649,,8.797811508178711,,
4,654,,8.63532829284668,,
4,659,,9.025877952575684,,
4,664,,8.50532054901123,,
4,669,,9.039453506469727,,
4,674,,9.14323616027832,,
4,679,,8.870979309082031,,
4,684,,8.418130874633789,,
4,689,,8.720539093017578,,
4,694,,8.902556419372559,,
4,699,,9.173466682434082,,
4,704,,8.491334915161133,,
4,709,,8.574502944946289,,
4,714,,8.709962844848633,,
4,719,,8.752406120300293,,
4,724,,8.289852142333984,,
4,729,,8.555118560791016,,
4,734,,8.477102279663086,,
4,739,,8.030505180358887,,
4,744,,8.508843421936035,,
4,749,,8.245490074157715,,
4,754,,7.945037841796875,,
4,759,,8.410158157348633,,
4,764,,8.04827880859375,,
4,769,,8.216429710388184,,
4,774,,8.482059478759766,,
4,779,,8.802657127380371,,
4,784,,8.120814323425293,,
,16,,,,8.160351753234863
,17,,,,8.174668312072754
,18,,,,8.704479217529297
,19,,,,8.342570304870605
4,784,,,8.3455171585083,
4,784,8.636804580688477,,,
5,789,,8.56716251373291,,
5,794,,8.169193267822266,,
5,799,,8.083349227905273,,
5,804,,8.234614372253418,,
